trial_id,t,theta_deg,omega,sensor_ax
T01,0.0,10.0993,-0.0,0.0275
T01,0.01,9.9531,-0.038,-0.0016
T01,0.02,10.0694,-0.0759,0.0106
T01,0.03,10.1819,-0.1135,-0.0006
T01,0.04,9.7466,-0.1508,-0.0001
T01,0.05,9.6415,-0.1877,0.0023
T01,0.06,9.8781,-0.2242,0.0128
T01,0.07,9.569,-0.2601,-0.0014
T01,0.08,9.1547,-0.2954,0.0332
T01,0.09,9.1703,-0.33,-0.01
T01,0.1,8.7629,-0.3638,0.004
T01,0.11,8.5372,-0.3967,-0.0013
T01,0.12,8.4351,-0.4288,0.0363
T01,0.13,7.7426,-0.4598,0.011
T01,0.14,7.5015,-0.4898,0.0275
T01,0.15,7.4387,-0.5187,-0.0231
T01,0.16,7.0372,-0.5464,0.0117
T01,0.17,6.9761,-0.5728,0.0238
T01,0.18,6.3905,-0.598,0.0074
T01,0.19,5.9348,-0.6218,0.0267
T01,0.2,6.1426,-0.6443,-0.0052
T01,0.21,5.4244,-0.6653,0.033
T01,0.22,5.0918,-0.6848,0.0504
T01,0.23,4.3917,-0.7027,-0.0032
T01,0.24,4.1566,-0.7192,-0.0052
T01,0.25,3.8679,-0.734,0.0324
T01,0.26,3.1881,-0.7472,0.0346
T01,0.27,3.0593,-0.7588,-0.0079
T01,0.28,2.4241,-0.7686,-0.0062
T01,0.29,2.0411,-0.7768,-0.0038
T01,0.3,1.5305,-0.7833,-0.0254
T01,0.31,1.5699,-0.7881,-0.0173
T01,0.32,0.7434,-0.7911,-0.0194
T01,0.33,0.0804,-0.7924,-0.0151
T01,0.34,0.0024,-0.792,-0.0008
T01,0.35,-0.8592,-0.7899,0.0041
T01,0.36,-1.0242,-0.786,0.0301
T01,0.37,-1.9056,-0.7805,-0.0213
T01,0.38,-2.2231,-0.7732,0.018
T01,0.39,-2.3568,-0.7643,-0.0064
T01,0.4,-2.6813,-0.7537,-0.0035
T01,0.41,-3.2206,-0.7415,0.0107
T01,0.42,-3.6961,-0.7277,-0.0257
T01,0.43,-4.1426,-0.7124,0.0041
T01,0.44,-4.7779,-0.6955,-0.0006
T01,0.45,-5.0155,-0.6771,0.0056
T01,0.46,-5.3418,-0.6573,0.0012
T01,0.47,-5.4043,-0.6361,0.0442
T01,0.48,-5.9003,-0.6135,-0.018
T01,0.49,-6.6612,-0.5897,-0.0161
T01,0.5,-6.5691,-0.5646,-0.0183
T01,0.51,-7.0213,-0.5383,-0.0172
T01,0.52,-7.3743,-0.5108,-0.0191
T01,0.53,-7.395,-0.4823,0.0172
T01,0.54,-7.5728,-0.4528,0.0216
T01,0.55,-7.8369,-0.4224,-0.0184
T01,0.56,-8.4173,-0.3911,-0.0238
T01,0.57,-8.5193,-0.359,0.002
T01,0.58,-8.5804,-0.3262,-0.0186
T01,0.59,-8.6216,-0.2927,0.005
T01,0.6,-9.0631,-0.2586,-0.0038
T01,0.61,-9.1351,-0.2241,-0.0383
T01,0.62,-9.43,-0.189,0.0229
T01,0.63,-9.5385,-0.1537,0.0278
T01,0.64,-9.2068,-0.1181,-0.0204
T01,0.65,-9.1476,-0.0822,-0.016
T01,0.66,-9.4622,-0.0463,-0.0025
T01,0.67,-9.2554,-0.0103,-0.0016
T01,0.68,-9.3715,0.0257,0.0049
T01,0.69,-9.54,0.0615,0.032
T01,0.7,-9.2854,0.0972,-0.0117
T01,0.71,-8.9765,0.1325,-0.0241
T01,0.72,-9.1976,0.1676,-0.0356
T01,0.73,-8.7639,0.2022,-0.0225
T01,0.74,-9.4677,0.2363,-0.0085
T01,0.75,-8.6269,0.2698,0.0282
T01,0.76,-8.6026,0.3027,-0.0179
T01,0.77,-8.49,0.3349,-0.0029
T01,0.78,-8.204,0.3663,-0.0075
T01,0.79,-8.3945,0.3968,0.0168
T01,0.8,-7.7984,0.4264,0.0438
T01,0.81,-7.4241,0.4551,-0.0172
T01,0.82,-6.9251,0.4827,-0.0161
T01,0.83,-7.0342,0.5092,0.0148
T01,0.84,-6.7875,0.5346,0.0079
T01,0.85,-6.4075,0.5587,0.0314
T01,0.86,-5.7922,0.5816,0.0065
T01,0.87,-5.5652,0.6032,-0.0121
T01,0.88,-5.3809,0.6235,0.0072
T01,0.89,-4.8054,0.6423,0.0179
T01,0.9,-4.5116,0.6597,0.0125
T01,0.91,-3.9511,0.6757,0.0065
T01,0.92,-3.8906,0.6901,0.0181
T01,0.93,-3.4135,0.7031,0.0205
T01,0.94,-3.0176,0.7144,0.0251
T01,0.95,-2.8174,0.7242,0.0108
T01,0.96,-2.0462,0.7324,-0.0052
T01,0.97,-1.63,0.739,0.0015
T01,0.98,-1.2551,0.744,0.023
T01,0.99,-0.8748,0.7473,-0.0171
T01,1.0,-0.6817,0.749,0.007
T01,1.01,-0.0533,0.7491,-0.0078
T01,1.02,0.3909,0.7476,0.001
T01,1.03,0.7259,0.7444,0.0263
T01,1.04,1.2784,0.7396,0.005
T01,1.05,1.8122,0.7332,0.0024
T01,1.06,2.5248,0.7252,-0.0253
T01,1.07,2.5934,0.7156,0.0172
T01,1.08,3.0146,0.7045,0.0155
T01,1.09,3.3457,0.6919,0.0462
T01,1.1,3.3663,0.6778,-0.0029
T01,1.11,4.1255,0.6623,0.008
T01,1.12,4.5139,0.6453,0.0089
T01,1.13,5.3551,0.6269,0.0358
T01,1.14,5.1734,0.6073,0.0026
T01,1.15,5.6097,0.5863,0.0104
T01,1.16,5.8673,0.5641,0.0173
T01,1.17,5.9521,0.5407,0.0091
T01,1.18,6.7119,0.5161,-0.0033
T01,1.19,6.9166,0.4905,0.0098
T01,1.2,7.1921,0.4638,0.0276
T01,1.21,7.1039,0.4362,-0.0142
T01,1.22,7.802,0.4077,0.0092
T01,1.23,7.4599,0.3783,-0.0072
T01,1.24,8.0593,0.3482,0.0308
T01,1.25,8.564,0.3173,-0.0234
T01,1.26,8.0938,0.2858,-0.0039
T01,1.27,8.3263,0.2538,0.0149
T01,1.28,8.5885,0.2212,0.0388
T01,1.29,8.578,0.1882,0.0063
T01,1.3,8.4596,0.1549,-0.0035
T01,1.31,8.8552,0.1213,0.0453
T01,1.32,8.6814,0.0874,-0.0212
T01,1.33,9.0215,0.0535,-0.0362
T01,1.34,8.7564,0.0194,0.0166
T01,1.35,9.2442,-0.0146,-0.0022
T01,1.36,8.752,-0.0485,-0.0127
T01,1.37,8.7994,-0.0823,0.0219
T01,1.38,8.9624,-0.1158,0.0126
T01,1.39,8.4703,-0.149,-0.0037
T01,1.4,8.66,-0.1819,-0.0181
T01,1.41,8.7553,-0.2142,0.0249
T01,1.42,8.0334,-0.2461,0.0203
T01,1.43,8.2349,-0.2774,0.0052
T01,1.44,8.0755,-0.308,0.0439
T01,1.45,7.9882,-0.3379,-0.0146
T01,1.46,7.376,-0.367,-0.0239
T01,1.47,7.1346,-0.3953,-0.0074
T01,1.48,7.2627,-0.4226,0.0053
T01,1.49,6.9621,-0.449,0.0109
T01,1.5,6.6825,-0.4744,0.001
T01,1.51,6.4175,-0.4987,0.0126
T01,1.52,5.9146,-0.5219,-0.0198
T01,1.53,5.7868,-0.5439,0.0339
T01,1.54,5.4767,-0.5646,0.0031
T01,1.55,4.9417,-0.5841,0.0268
T01,1.56,5.1136,-0.6023,0.011
T01,1.57,4.4814,-0.6192,0.013
T01,1.58,3.7856,-0.6347,0.0149
T01,1.59,3.7843,-0.6487,0.0121
T01,1.6,3.0797,-0.6614,0.0157
T01,1.61,3.0473,-0.6725,0.0291
T01,1.62,2.7312,-0.6822,0.0061
T01,1.63,1.9401,-0.6904,0.016
T01,1.64,1.8978,-0.6971,-0.0003
T01,1.65,1.3854,-0.7022,0.0299
T01,1.66,1.0629,-0.7058,-0.0127
T01,1.67,0.8722,-0.7079,0.0364
T01,1.68,0.0377,-0.7084,-0.0007
T01,1.69,-0.4695,-0.7074,-0.0289
